,precision,recall,f1-score,support
A,0.6423841059602649,0.9304556354916067,0.7600391772771793,417.0
F,0.6256983240223464,0.9256198347107438,0.7466666666666667,121.0
N,0.9967741935483871,0.9777041942604856,0.987147102526003,13590.0
V,0.9581818181818181,0.9714285714285714,0.9647597254004576,1085.0
accuracy,0.9755472293433248,0.9755472293433248,0.9755472293433248,0.9755472293433248
macro avg,0.8057596104282041,0.9513020589728519,0.8646531679675766,15213.0
weighted avg,0.9813562237850514,0.9755472293433248,0.9774125043698895,15213.0
